Tecnología;ID;Región;Provincia;Departamento;Ronda;Fecha de adjudicacion;Oferente;Nombre del proyecto;Precio adj. [USD/MWh];Potencia [MW]
Biogás;BG-01;Centro;CORDOBA;Río Cuarto;Ronda 1;201610;BIOMAS CROP;C.T. Río Cuarto 1;160;2
Biogás;BG-02;Centro;CORDOBA;Río Cuarto;Ronda 1;201610;BIOMAS CROP;C.T. Río Cuarto 2;160;1,2
Biogás;BG-03;Centro;SAN LUIS;General Pedernera;Ronda 1;201610;ACA / FERSI;C.T. Yanquetruz;160;1,2
Biogás;BG-04;Litoral;SANTA FE;General López;Ronda 1;201610;ADECO AGRO;C.T. San Pedro Verde;158,92;1,415
Biogás;BG-05;Centro;CORDOBA;General Roca;Ronda 1;201610;FECOFE / COOP. HUINCA RENANCÓ;C.T. Huinca Renancó;160;1,62
Biogás;BG-06;Litoral;SANTA FE;San Lorenzo;Ronda 1;201610;MARTÍN NACARATO / OTROS;C.T. Biogás Ricardone;118;1,2
Biogás;BG-500;Litoral;SANTA FE;Constitución;Ronda 2;201711;TANONI HNOS S.A.;C.T. Bombal Biogas;165;1,2
Biogás;BG-501;BSAS;BUENOS AIRES;Ramallo;Ronda 2;201711;ARREBEEF S.A.;C.T. Arrebeef Energia;150;1,5
Biogás;BG-502;Centro;CORDOBA;Colón;Ronda 2;201711;POLLOS SAN MATEO S.A.;C.T. Pollos San Mateo;156;2,4
Biogás;BG-503;Centro;CORDOBA;Río Cuarto;Ronda 2;201711;ACZIA BIOGAS, S.L.;C.T. James Craik;156;2,4
Biogás;BG-504;Litoral;SANTA FE;La Capital;Ronda 2;201711;ACZIA BIOGAS, S.L.;C.T. Recreo;156;2,4
Biogás;BG-505;Centro;CORDOBA;San Justo;Ronda 2;201711;ACZIA BIOGAS, S.L.;C.T. San Francisco;156;2,4
Biogás;BG-506;Litoral;SANTA FE;Castellanos;Ronda 2;201711;ACZIA BIOGAS, S.L.;C.T. Bella Italia;156;2,4
Biogás;BG-507;BSAS;BUENOS AIRES;Roque Pérez;Ronda 2;201711;PACUCA S.A.;C.T. Pacuca Bio Energia;171,85;1
Biogás;BG-508;Comahue;LA PAMPA;Puelén;Ronda 2;201711;AB AGRO S.A.;C.T. Ab Energia;156,85;2
Biogás;BG-510;BSAS;BUENOS AIRES;Bahía Blanca;Ronda 2;201711;INMADE S.A.;C.T. Resener I;176,4;0,72
Biogás;BG-511;Centro;CORDOBA;Marcos Juárez;Ronda 2;201711;CECILIA DEBENEDETTI;C.T. Enreco;156,85;2
Biogás;BG-512;NOA;SANTIAGO DEL ESTERO;General Taboada;Ronda 2;201711;LOS AMORES S.A.;C.T. Santiago Energías Renovables;156,85;3
Biogás;BG-513;BSAS;BUENOS AIRES;General Villegas;Ronda 2;201711;MARÍA ELENA S.A;C.T. General Villegas;169;1,2
Biogás;BG-514;Centro;CORDOBA;Río Cuarto;Ronda 2;201711;BIOMASS CROP S.A.;Ampliacion 2 Central Bioelectrica;169;1,2
Biogás;BG-515;Centro;CORDOBA;Río Cuarto;Ronda 2;201711;BIOELECTRICA DOS S.A.;Ampliacion Bioelectrica Dos;169;1,2
Biogás;BG-516;Centro;SAN LUIS;General Pedernera;Ronda 2;201711;BIOMASS CROP S.A.;C.T. Bio Justo Daract;175;1
Biogás;BG-517;Centro;CORDOBA;Río Cuarto;Ronda 2;201711;BIOGENERADORA CENTRO S.A;C.T. Biogeneradora Santa Catalina;156,85;2
Biogás;BG-518;Centro;SAN LUIS;General Pedernera;Ronda 2;201711;BIO ENERGIA YANQUETRUZ;C.T. Yanquetruz Ii;177,85;0,8
Biogás;BG-519;Centro;CORDOBA;General Roca;Ronda 2;201711;ANTIGUAS ESTANCIAS DON ROBERTO S.A.;C.T. El Alegre Bio;175;1
Biogás;BG-520;Centro;SAN LUIS;General Pedernera;Ronda 2;201711;ANTIGUAS ESTANCIAS DON ROBERTO S.A.;C.T. Don Roberto Bio;175;1
Biogás;BG-521;Litoral;SANTA FE;General López;Ronda 2;201711;SESNICH, NESTOR OMAR;C.T. Biocaña;156,85;3
Biogás;BG-522;BSAS;BUENOS AIRES;Pergamino;Ronda 2;201711;SEEDS ENERGY;C.T. Pergamino;156,85;2,4
Biogás;BG-523;Litoral;SANTA FE;General López;Ronda 2;201711;SEEDS ENERGY DE VENADO TUERTO S.A.;C.T. Venado Tuerto;156,85;1,998
Biogás;BG-524;BSAS;BUENOS AIRES;General Alvear;Ronda 2;201711;CARNES DE LA PATAGONIA NEUQUINA S.A.;C.T. General Alvear;171,85;1
Biogás;BG-525;BSAS;BUENOS AIRES;Saladillo;Ronda 2;201711;CARNES DE LA PATAGONIA NEUQUINA S.A.;C.T. El Mangrullo;156,85;2
Biogás;BG-526;Litoral;SANTA FE;General Obligado;Ronda 2;201711;INDUSTRIAS JUAN F. SECCO S.A.;C.T. Avellaneda;160;6
Biogás;BG-527;NOA;TUCUMAN;Burruyacú;Ronda 2;201711;CITRUSVIL S.A.;C.T. Citrusvil;153;3
Biogás;BG-528;Centro;CORDOBA;Río Cuarto;Ronda 2;201711;CLEANERGY RENOVABLES S.A.;C.T. Jigena I;171;1
Biogás;BG-529;Centro;CORDOBA;Río Segundo;Ronda 2;201711;CLEANERGY RENOVABLES S.A.;C.T. Villa del Rosario;174,5;1
Biogás;BG-530;Litoral;SANTA FE;General Obligado;Ronda 2;201711;SILVINA HACEN;C.T. del Rey;169;1
Biogás;BG-531;Litoral;SANTA FE;General Obligado;Ronda 2;201711;SILVINA HACEN;C.T. Don Nicanor;169;1
Biogás RS;BRS-600;Litoral;SANTA FE;San Lorenzo;Ronda 2;201711;GLOBAL GREEN RICARDONE SRL;C.T. Ricardone Ii;128;3,12
Biogás RS;BRS-602;BSAS;BUENOS AIRES;La Matanza;Ronda 2;201711;INDUSTRIAS JUAN F. SECCO S.A.;C.T. Gonzalez Catan;129,7;5
Biogás RS;BRS-603;BSAS;BUENOS AIRES;Ensenada;Ronda 2;201711;INDUSTRIAS JUAN F. SECCO S.A.;C.T. Ensenada;129,4;5
Biomasa;BM-01;NEA;CORRIENTES;Concepción;Ronda 1;201610;PAPELERA MEDITERRÁNEA / LUCENA;C.T. Generación Biomasa Santa Rosa;110;12,5
Biomasa;BM-05;NEA;MISIONES;Libertador General San Martín ;Ronda 1;201610;PINDÓ;C.T. Pincó Eco;110;2
Biomasa;BM-400;NOA;TUCUMAN;Leales;Ronda 2;201711;COMPAÑÍA INVERSORA INDUSTRIAL S.A.;C.T. Cogeneración Ingenio Leales;145,862069;2
Biomasa;BM-401;Centro;CORDOBA;Juárez Celman;Ronda 2;201711;PRODEMAN S.A.;C.T. Prodeman Bioenergia;126,5517241;9
Biomasa;BM-404;NEA;CORRIENTES;Santo Tomé;Ronda 2;201711;SANTO TOME KUERA S.A.;C.T. Kuera Santo Tome;110,627931;12,92
Biomasa;BM-405;Centro;CORDOBA;General San Martín;Ronda 2;201711;LORENZATI, RUETSCH Y CIA. S.A.;C.T. Ticino Biomasa S.A.;143,1034483;3
Biomasa;BM-406;NEA;CORRIENTES;Santo Tomé;Ronda 2;201711;FORESTADORA TAPEBICUA S.A.;C.T. Generacion Virasoro;140,7234483;3
