provincia_completa,empleo_prom,salario_prom,ln_empleo_prom,provincia_tratada,aglomerado,gen,edad,e_civil,ht_ocup,nivel_ed,cond_act,cond_parent,alfabet,cat_ocup,percap_fam,tama_aglomerado,nivel_pobreza,cond_pobre
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,17,5.0,,3,3,3,1.0,,8000.0,S,1.972800019728,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,55,3.0,45.0,4,1,1,1.0,3.0,31000.0,S,7.644600076446,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,34,3.0,63.0,5,1,3,1.0,3.0,31000.0,S,7.644600076446,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,47,1.0,78.0,3,1,1,1.0,3.0,5000.0,S,1.23300001233,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,45,1.0,,2,3,2,1.0,,5000.0,S,1.23300001233,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,21,5.0,54.0,4,1,3,1.0,3.0,5000.0,S,1.23300001233,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,23,5.0,,5,3,1,1.0,,6500.0,S,1.602900016029,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,21,5.0,,5,3,1,1.0,,5000.0,S,1.23300001233,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,24,5.0,,5,3,8,1.0,,5000.0,S,1.23300001233,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,46,2.0,30.0,3,1,1,1.0,3.0,7666.67,S,1.8906008409060084,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,54,2.0,50.0,4,1,2,1.0,3.0,7666.67,S,1.8906008409060084,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,15,5.0,,3,3,3,1.0,,7666.67,S,1.8906008409060084,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,75,2.0,,6,3,1,1.0,,5000.0,S,1.23300001233,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,73,2.0,,4,3,2,1.0,,5000.0,S,1.23300001233,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,45,2.0,0.0,6,1,1,1.0,3.0,7400.0,S,1.8248400182484,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,45,2.0,40.0,6,1,2,1.0,3.0,7400.0,S,1.8248400182484,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,10,5.0,,1,3,3,1.0,,7400.0,S,1.8248400182484,0
