aglomerado,provincia_completa,gen,edad,e_civil,ht_ocup,nivel_ed,cond_act,cond_parent,alfabet,cat_ocup,percap_fam,tama_aglomerado,nivel_pobreza,cond_pobre
2,buenos_aires,1,17,5,,3,3,3,1,0,8000.0,S,1.9728000197280002,0
2,buenos_aires,2,55,3,45.0,4,1,1,1,3,31000.0,S,7.644600076446,0
2,buenos_aires,1,34,3,63.0,5,1,3,1,3,31000.0,S,7.644600076446,0
2,buenos_aires,1,47,1,78.0,3,1,1,1,3,5000.0,S,1.23300001233,0
2,buenos_aires,2,45,1,,2,3,2,1,0,5000.0,S,1.23300001233,0
2,buenos_aires,1,21,5,54.0,4,1,3,1,3,5000.0,S,1.23300001233,0
2,buenos_aires,1,23,5,,5,3,1,1,0,6500.0,S,1.6029000160290001,0
2,buenos_aires,1,21,5,,5,3,1,1,0,5000.0,S,1.23300001233,0
2,buenos_aires,1,24,5,,5,3,8,1,0,5000.0,S,1.23300001233,0
2,buenos_aires,2,46,2,30.0,3,1,1,1,3,7666.67,S,1.8906008409060084,0
2,buenos_aires,1,54,2,50.0,4,1,2,1,3,7666.67,S,1.8906008409060084,0
2,buenos_aires,1,15,5,,3,3,3,1,0,7666.67,S,1.8906008409060084,0
2,buenos_aires,2,75,2,,6,3,1,1,0,5000.0,S,1.23300001233,0
2,buenos_aires,1,73,2,,4,3,2,1,0,5000.0,S,1.23300001233,0
2,buenos_aires,2,45,2,0.0,6,1,1,1,3,7400.0,S,1.8248400182484001,0
2,buenos_aires,1,45,2,40.0,6,1,2,1,3,7400.0,S,1.8248400182484001,0
2,buenos_aires,2,10,5,,1,3,3,1,0,7400.0,S,1.8248400182484001,0
2,buenos_aires,2,10,5,,1,3,3,1,0,7400.0,S,1.8248400182484001,0
2,buenos_aires,2,10,5,,1,3,3,1,0,7400.0,S,1.8248400182484001,0
2,buenos_aires,1,33,1,70.0,3,1,1,1,3,2450.0,S,0.6041700060417,1
2,buenos_aires,2,34,1,12.0,3,1,2,1,2,2450.0,S,0.6041700060417,1
2,buenos_aires,1,10,5,,1,3,3,1,0,2450.0,S,0.6041700060417,1
2,buenos_aires,2,17,5,,3,3,3,1,0,2450.0,S,0.6041700060417,1
2,buenos_aires,2,35,1,,4,2,1,1,2,2920.0,S,0.7200720072007201,1
2,buenos_aires,1,32,1,36.0,4,1,2,1,3,2920.0,S,0.7200720072007201,1
2,buenos_aires,2,15,5,,3,3,3,1,0,2920.0,S,0.7200720072007201,1
2,buenos_aires,1,6,5,,1,4,3,2,0,2920.0,S,0.7200720072007201,1
2,buenos_aires,1,19,5,,5,3,1,1,0,5000.0,S,1.23300001233,0
2,buenos_aires,1,34,2,40.0,6,1,1,1,3,30000.0,S,7.3980000739800005,0
2,buenos_aires,2,34,2,45.0,5,1,2,1,3,30000.0,S,7.3980000739800005,0
2,buenos_aires,2,20,5,,5,3,1,1,0,4000.0,S,0.9864000098640001,1
2,buenos_aires,2,35,5,36.0,6,1,1,1,2,23000.0,S,5.671800056718,0
2,buenos_aires,1,42,1,40.0,3,1,1,1,3,5640.0,S,1.3908240139082402,0
2,buenos_aires,2,41,1,20.0,4,1,2,1,3,5640.0,S,1.3908240139082402,0
2,buenos_aires,2,24,5,,3,2,3,1,3,5640.0,S,1.3908240139082402,0
2,buenos_aires,1,20,5,24.0,3,1,3,1,3,5640.0,S,1.3908240139082402,0
2,buenos_aires,1,5,5,,7,4,5,2,0,5640.0,S,1.3908240139082402,0
2,buenos_aires,2,39,5,30.0,2,1,1,1,3,4800.0,S,1.1836800118368,0
2,buenos_aires,2,21,5,,4,3,3,1,0,4800.0,S,1.1836800118368,0
2,buenos_aires,1,11,5,,1,3,3,1,0,4800.0,S,1.1836800118368,0
2,buenos_aires,2,73,4,,2,3,6,1,0,4800.0,S,1.1836800118368,0
2,buenos_aires,1,76,2,,2,3,1,1,0,5500.0,S,1.3563000135630001,0
2,buenos_aires,2,76,2,,4,3,2,1,0,5500.0,S,1.3563000135630001,0
2,buenos_aires,1,78,2,,3,3,1,1,0,4000.0,S,0.9864000098640001,1
2,buenos_aires,2,77,2,,4,3,2,1,0,4000.0,S,0.9864000098640001,1
2,buenos_aires,2,80,4,,6,3,1,1,0,16500.0,S,4.068900040689,0
2,buenos_aires,2,22,5,,5,3,5,1,0,16500.0,S,4.068900040689,0
