provincia_completa,anio,trimestre,empleo_prom_trimestre,salario_prom_trimestre,provincia_tratada
buenos_aires,2015,1,2869.0599163957268,12201.691014305621,0
buenos_aires,2015,2,2853.804075961093,14318.57871496063,0
buenos_aires,2015,3,2860.3626679018066,13392.400168179713,0
buenos_aires,2015,4,2875.060564031438,16389.891256218212,0
buenos_aires,2016,1,2907.9179415855356,16114.455267083913,0
buenos_aires,2016,2,2855.3106165971258,19195.185089337043,0
buenos_aires,2016,3,2859.9626865671644,17900.565977005597,0
buenos_aires,2016,4,2898.5165965404394,22116.158188218797,1
buenos_aires,2017,1,2898.1914008321774,21649.079240083218,1
buenos_aires,2017,2,2889.843502561714,24710.692774988358,1
buenos_aires,2017,3,2900.717888836992,23046.114010836056,1
buenos_aires,2017,4,2934.388136384867,27993.851352638954,1
buenos_aires,2018,1,2944.785681078568,26932.848357740586,1
buenos_aires,2018,2,2882.440129449838,31341.036244660194,1
buenos_aires,2018,3,2836.836706531739,29250.207556669735,1
buenos_aires,2018,4,2821.1447610294117,37220.23969889706,1
buenos_aires,2019,1,2829.6235618959963,37839.386427795675,1
buenos_aires,2019,2,2788.7463099630995,45613.62323939114,1
buenos_aires,2019,3,2778.7147480351364,43534.655070180306,1
buenos_aires,2019,4,2766.879573876795,55681.437541917556,1
buenos_aires,2020,1,2776.3478866697633,57676.13304226661,1
buenos_aires,2020,2,2687.108523521192,63801.76921658127,1
buenos_aires,2020,3,2692.2072829131653,58649.73835994398,1
buenos_aires,2020,4,2728.220187793427,75028.99578356807,1
buenos_aires,2021,1,2792.24,76166.77716988235,1
buenos_aires,2021,2,2786.2997172478795,92028.85327191329,1
buenos_aires,2021,3,2793.5649717514125,88765.02191101696,1
buenos_aires,2021,4,2847.478097032501,114073.31082807349,1
catamarca,2015,1,534.75,8140.5865145348835,0
catamarca,2015,2,548.9941520467836,10264.537757894735,0
catamarca,2015,3,520.5204678362574,9877.30138011696,0
catamarca,2015,4,511.84795321637426,12212.51418011696,0
catamarca,2016,1,508.87134502923976,10985.21876491228,0
catamarca,2016,2,501.953216374269,13623.882358479532,0
catamarca,2016,3,490.1918604651163,12995.56620116279,0
catamarca,2016,4,491.5433526011561,15964.201749132948,1
catamarca,2017,1,549.3625730994152,14253.939371929826,1
catamarca,2017,2,540.5906432748538,17862.606219298246,1
catamarca,2017,3,517.5672514619883,17058.797960818712,1
catamarca,2017,4,494.5056818181818,21362.854085227274,1
catamarca,2018,1,495.6327683615819,18296.825569491524,1
catamarca,2018,2,491.8135593220339,21817.226771751415,1
catamarca,2018,3,472.14044943820227,20830.221678651687,1
catamarca,2018,4,438.1058201058201,27567.967619576717,1
catamarca,2019,1,453.41269841269843,25528.563785714283,1
catamarca,2019,2,457.90710382513663,32314.70824808743,1
catamarca,2019,3,454.49717514124296,30436.213085310734,1
catamarca,2019,4,449.6949152542373,40776.89083615819,1
catamarca,2020,1,462.20111731843576,39980.49626815643,1
catamarca,2020,2,444.20338983050846,45353.47134463277,1
catamarca,2020,3,451.1637426900585,41009.43524561403,1
catamarca,2020,4,463.32738095238096,55518.24958333333,1
catamarca,2021,1,479.8421052631579,53186.03371929825,1
catamarca,2021,2,503.1636363636364,64856.48472727273,1
catamarca,2021,3,494.9047619047619,65006.4100297619,1
catamarca,2021,4,496.76878612716763,87802.37984393063,1
chaco,2015,1,755.0274914089347,8473.500446735396,0
chaco,2015,2,778.1020408163265,10243.516023469387,0
chaco,2015,3,801.6185567010309,9923.57191958763,0
chaco,2015,4,797.7766323024055,12143.03268041237,0
chaco,2016,1,770.3264604810996,11365.485268041237,0
chaco,2016,2,795.8491228070176,13810.282189122807,0
chaco,2016,3,802.8842105263158,13078.947142807017,0
chaco,2016,4,808.8315789473684,16599.618090526314,0
chaco,2017,1,810.1272084805654,15074.70216925795,0
chaco,2017,2,825.7056737588653,17770.006646099293,0
chaco,2017,3,842.6702127659574,16569.436062056735,0
chaco,2017,4,849.2695035460993,20672.792984751773,1
chaco,2018,1,855.5615942028985,17786.226696739133,1
chaco,2018,2,857.7644927536232,21857.1797557971,1
chaco,2018,3,832.4172661870504,20374.235070143885,1
chaco,2018,4,813.2114695340501,25884.21411326165,1
chaco,2019,1,799.8853046594982,24513.66529032258,1
chaco,2019,2,808.8309352517986,30543.332255395686,1
chaco,2019,3,802.7060931899641,29447.78675017921,1
chaco,2019,4,810.0797101449275,37616.56064492754,1
chaco,2020,1,796.945652173913,36620.185144927535,1
chaco,2020,2,783.3550724637681,45020.629612318844,1
chaco,2020,3,789.1884057971015,41578.38026811594,1
chaco,2020,4,798.9021739130435,53100.9148115942,1
chaco,2021,1,820.2417582417582,50770.60418315018,1
chaco,2021,2,831.0872727272728,63636.2480509091,1
chaco,2021,3,824.1433691756272,62223.870154121854,1
chaco,2021,4,830.4480286738351,81458.88891756273,1
chubut,2015,1,1684.4285714285713,14832.371393650796,0
chubut,2015,2,1636.984375,17660.038715625,0
chubut,2015,3,1666.1157894736841,16509.395399473684,0
chubut,2015,4,1749.7650273224044,20225.26029180328,0
chubut,2016,1,1736.532967032967,19075.24545,0
chubut,2016,2,1633.763440860215,23422.99194408602,0
chubut,2016,3,1639.4569892473119,22482.762933870967,0
chubut,2016,4,1676.7513513513513,27488.70473945946,1
chubut,2017,1,1684.0,26349.509039673914,1
chubut,2017,2,1626.1567567567567,31092.388725405403,1
chubut,2017,3,1642.5508021390374,28912.194647593584,1
chubut,2017,4,1667.1808510638298,35135.46664042553,1
chubut,2018,1,1641.5449735449736,32352.95797195767,1
chubut,2018,2,1571.4867724867725,39295.24795343915,1
chubut,2018,3,1663.4088397790056,37513.16027624309,1
chubut,2018,4,1644.7267759562842,48093.42573224044,1
chubut,2019,1,1763.7687861271677,45967.46757225433,1
