ch06,ch07,pp3e_tot_clean,estado,ch03,ch09,ch10,ch04_2,nivel_ed_2,nivel_ed_3,nivel_ed_4,nivel_ed_5,nivel_ed_6,nivel_ed_7,intercepto
51.0,5.0,60.0,1.0,1,1.0,2.0,True,False,True,False,False,False,False,0
28.0,1.0,40.0,1.0,3,1.0,2.0,False,False,True,False,False,False,False,0
24.0,5.0,54.0,1.0,3,1.0,1.0,False,False,False,False,True,False,False,0
19.0,5.0,36.0,3.0,3,1.0,1.0,False,False,False,False,True,False,False,0
28.0,1.0,25.0,1.0,1,1.0,2.0,False,True,False,False,False,False,False,0
28.0,1.0,36.0,3.0,2,1.0,2.0,True,False,False,True,False,False,False,0
10.0,5.0,36.0,3.0,3,1.0,1.0,False,False,False,False,False,False,False,0
5.0,5.0,36.0,4.0,3,1.0,1.0,True,False,False,False,False,False,True,0
29.0,5.0,36.0,3.0,5,1.0,1.0,False,False,False,False,True,False,False,0
26.0,5.0,56.0,1.0,5,1.0,2.0,True,False,False,False,False,True,False,0
49.0,2.0,40.0,1.0,1,1.0,2.0,True,False,False,True,False,False,False,0
58.0,2.0,72.0,1.0,2,1.0,2.0,False,False,False,False,True,False,False,0
23.0,5.0,40.0,1.0,3,1.0,2.0,False,False,False,True,False,False,False,0
22.0,5.0,30.0,1.0,3,1.0,2.0,True,False,False,True,False,False,False,0
38.0,1.0,63.0,1.0,1,1.0,2.0,True,False,False,True,False,False,False,0
10.0,5.0,36.0,3.0,3,1.0,1.0,False,False,False,False,False,False,False,0
13.0,5.0,36.0,3.0,3,1.0,1.0,True,False,True,False,False,False,False,0
78.0,4.0,48.0,1.0,1,1.0,2.0,True,False,False,False,False,False,False,0
61.0,3.0,49.0,1.0,1,1.0,2.0,False,False,False,True,False,False,False,0
41.0,2.0,48.0,1.0,1,1.0,2.0,False,False,True,False,False,False,False,0
47.0,2.0,36.0,3.0,2,1.0,2.0,True,False,True,False,False,False,False,0
14.0,5.0,36.0,3.0,3,1.0,1.0,True,False,True,False,False,False,False,0
12.0,5.0,36.0,3.0,3,1.0,1.0,True,False,True,False,False,False,False,0
8.0,5.0,36.0,4.0,3,1.0,1.0,True,False,False,False,False,False,False,0
23.0,3.0,36.0,2.0,1,1.0,2.0,True,False,False,True,False,False,False,0
6.0,5.0,36.0,4.0,3,1.0,1.0,False,False,False,False,False,False,False,0
4.0,5.0,36.0,4.0,3,2.0,1.0,True,False,False,False,False,False,True,0
46.0,4.0,30.0,1.0,1,1.0,2.0,True,False,False,True,False,False,False,0
