ch06,ch07,pp3e_tot_clean,estado,ch03,ch09,ch10,pobre,ch04_2,nivel_ed_2,nivel_ed_3,nivel_ed_4,nivel_ed_5,nivel_ed_6,nivel_ed_7
25.0,1.0,24.0,1.0,2,1.0,2.0,1,True,False,False,True,False,False,False
7.0,5.0,36.0,4.0,3,1.0,1.0,1,True,False,False,False,False,False,False
4.0,5.0,36.0,4.0,3,2.0,1.0,1,False,False,False,False,False,False,True
34.0,5.0,36.0,4.0,3,3.0,2.0,1,False,False,False,False,False,False,True
29.0,5.0,70.0,1.0,1,1.0,1.0,1,True,False,False,False,True,False,False
13.0,5.0,36.0,3.0,3,1.0,1.0,1,True,False,False,False,False,False,False
5.0,5.0,36.0,4.0,3,2.0,1.0,1,False,False,False,False,False,False,True
39.0,1.0,24.0,1.0,1,1.0,2.0,0,True,False,False,False,False,True,False
41.0,1.0,36.0,1.0,2,1.0,2.0,0,False,False,True,False,False,False,False
2.0,5.0,36.0,4.0,3,2.0,3.0,0,True,False,False,False,False,False,True
33.0,2.0,45.0,1.0,1,1.0,2.0,1,False,False,False,True,False,False,False
34.0,2.0,36.0,3.0,2,1.0,2.0,1,True,False,False,True,False,False,False
1.0,5.0,36.0,4.0,3,3.0,2.0,1,True,False,False,False,False,False,True
6.0,5.0,36.0,4.0,3,1.0,1.0,1,False,False,False,False,False,False,False
11.0,5.0,36.0,3.0,3,1.0,1.0,1,True,False,False,False,False,False,False
3.0,5.0,36.0,4.0,3,2.0,1.0,1,True,False,False,False,False,False,True
46.0,2.0,56.0,1.0,1,1.0,2.0,1,False,False,True,False,False,False,False
46.0,2.0,36.0,3.0,2,1.0,2.0,1,True,False,False,False,False,True,False
18.0,5.0,36.0,3.0,3,1.0,1.0,1,True,False,False,False,True,False,False
21.0,5.0,36.0,3.0,3,1.0,1.0,1,False,False,False,False,True,False,False
8.0,5.0,36.0,4.0,3,1.0,1.0,1,True,False,False,False,False,False,False
73.0,5.0,36.0,3.0,1,1.0,2.0,1,True,True,False,False,False,False,False
38.0,5.0,15.0,1.0,3,1.0,2.0,1,True,False,False,True,False,False,False
34.0,5.0,8.0,1.0,5,1.0,2.0,1,True,False,False,False,False,True,False
